City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,mejit,10.2753,170.8646,27.77,75,76,9.14,MH,1701330692
332,concepcion,-36.827,-73.0498,10.89,92,0,1.39,CL,1701330692
333,angaur state,6.906,134.13,28.73,78,30,4.32,PW,1701330450
334,thoen,17.6129,99.2161,31.07,50,79,0.98,TH,1701330693
335,danielskuil,-28.1887,23.5395,26.53,12,3,5.56,ZA,1701330693
336,tamandare,-8.7597,-35.1047,23.68,81,7,1.77,BR,1701330693
337,papao,-17.75,-149.55,27.82,88,100,10.46,PF,1701330483
338,neftekumsk,44.6667,44.9167,10.7,81,98,3.15,RU,1701330694
339,gaogou,34.0175,119.1886,4.73,22,100,3.76,CN,1701330695
340,krasnoye-na-volge,57.5125,41.2419,-5.55,94,100,8.28,RU,1701330695
341,touros,-5.1989,-35.4608,25.58,84,100,5.47,BR,1701330514
342,ulysses,37.5814,-101.3552,4.16,93,0,2.06,US,1701330696
343,aykhal,66.0,111.5,-12.97,94,100,9.47,RU,1701330696
344,looe,50.3578,-4.4542,2.62,84,100,11.39,GB,1701330697
345,st ives,50.2086,-5.4875,3.38,100,75,10.29,GB,1701330697
346,tamanrasset,22.785,5.5228,17.95,14,0,2.57,DZ,1701330697
347,igarka,67.4667,86.5833,-24.91,97,19,3.21,RU,1701330697
348,barra do corda,-5.5,-45.25,22.65,95,0,1.17,BR,1701330698
349,abepura,-2.6333,140.5833,29.45,70,20,3.6,ID,1701330698
350,new plymouth,-39.0667,174.0833,13.78,65,49,3.91,NZ,1701330546
351,hamina,60.5697,27.1979,-4.26,93,100,8.24,FI,1701330699
352,rio grande,-32.035,-52.0986,20.53,93,94,2.72,BR,1701330444
353,tralee,52.2704,-9.7026,0.88,87,8,5.01,IE,1701330699
354,hopkinton,41.4612,-71.7776,2.49,53,100,3.6,US,1701330699
355,escarcega,18.6089,-90.7454,21.28,95,94,2.45,MX,1701330700
356,pearsall,28.8922,-99.095,16.07,99,100,3.8,US,1701330700
357,pyhajarvi,67.0701,27.2176,-8.63,98,100,0.87,FI,1701330701
358,kirando,-7.4167,30.6,23.48,81,100,2.0,TZ,1701330701
359,khon kaen,16.5,102.0833,30.45,51,60,2.76,TH,1701330701
360,susanville,40.4163,-120.653,-0.09,83,100,0.0,US,1701330701
361,whitefish,48.4111,-114.3376,-4.72,87,100,2.57,US,1701330702
